RaceID,Year,Driver,Team,QualiPos,RacePos
AbuDhabiGrandPrix2021,2021,russell,williams,17,18
AbuDhabiGrandPrix2021,2021,raikkonen,alfa,18,19
AbuDhabiGrandPrix2021,2021,mick_schumacher,haas,19,14
AbuDhabiGrandPrix2021,2021,mazepin,haas,20,-1
BahrainGrandPrix2022,2022,leclerc,ferrari,1,1
BahrainGrandPrix2022,2022,max_verstappen,red_bull,2,19
BahrainGrandPrix2022,2022,sainz,ferrari,3,2
BahrainGrandPrix2022,2022,perez,red_bull,4,18
BahrainGrandPrix2022,2022,hamilton,mercedes,5,3
BahrainGrandPrix2022,2022,bottas,alfa,6,6
BahrainGrandPrix2022,2022,kevin_magnussen,haas,7,5
BahrainGrandPrix2022,2022,alonso,alpine,8,9
BahrainGrandPrix2022,2022,russell,mercedes,9,4
BahrainGrandPrix2022,2022,gasly,alphatauri,10,20
BahrainGrandPrix2022,2022,ocon,alpine,11,7
BahrainGrandPrix2022,2022,mick_schumacher,haas,12,11
BahrainGrandPrix2022,2022,norris,mclaren,13,15
BahrainGrandPrix2022,2022,albon,williams,14,13
BahrainGrandPrix2022,2022,zhou,alfa,15,10
BahrainGrandPrix2022,2022,tsunoda,alphatauri,16,8
BahrainGrandPrix2022,2022,hulkenberg,aston_martin,17,17
BahrainGrandPrix2022,2022,ricciardo,mclaren,18,14
